VEP_Site_Name,VEP_Trinomial,VEP_LA_number,Boc_Site_Name,Boc_Site_Number,Boc_SiteID,Canon_Site_Name,Canon_Trinomial,Canon_LA_Number,Canon_SiteID,Aliases,Study Area,GIVE UP!,Comment,Canon Complete?
34-Plex;GILA PUEBLO 34>SODA CANYON PUEBLO>SODA CANYON COMPOUND>O'BRYAN 34,5MV34,,Soda Canyon Campground,5MV34,828,Soda Canyon Pueblo,5MV34,,828,34-Plex; Gila Pueblo 34; Soda Canyon Campground; Soda Canyon Compound; O'Bryan 34,CMV,,,Yes
34-Plex,5MV2446,,,,,,5MV2446,,,34-Plex,CMV,,,Yes
34-Plex,5MV32,,,,,,5MV32,,,34-Plex,CMV,,,Yes
34-Plex,5MV33,,,,,,5MV33,,,34-Plex,CMV,,,Yes
34-Plex,5MV4060,,,,,,5MV4060,,,34-Plex,CMV,,,Yes
Spring House;SPRING HOUSE>RUIN 20 (NORDENSKIOLD)>GILA PUEBLO 119,5MV1406,,Spring House,,219,Spring House,5MV1406,,219,Nordenskiold 20; Gila Pueblo 119,CMV,,,Yes
,,,Spruce Tree House,,220,Spruce Tree House,5MV640,,,Nordenskiold 1; Gila Pueblo 120,CMV,,,Yes
Ledge Room at Spruce Tree House,5MV641,,,,,Spruce Tree House Ledge Room,5MV641,,,Ledge Room at Spruce Tree House,CMV,,,Yes
SPRUCE TREE HOUSE~RUIN 1 (NORDENSKIOLD)~GILA PUEBLO 120,5MV640,,"Spruce Tree House, Kiva A",5MV640,963,Spruce Tree House,5MV640,,963,Nordenskiold 1; Gila Pueblo 120,CMV,,,Yes
Square Tower House;SQUARE TOWER HOUSE~PEABODY HOUSE~RUIN 8 (NORDENSKIOLD),5MV650,,Square Tower House,,221,Square Tower House,5MV650,,221,Peabody House; Nordenskiold 8,CMV,,,Yes
,,,Sun Point Cliff Dwelling,,222,Sun Point Cliff Dwelling,,,,,CMV,,,Yes
SUN POINT PUEBLO,5MV7,,,,,Sun Point Pueblo,5MV7,,,,,,,Yes
GILA PUEBLO 143>BIG PIT STRUCTURE>TEST NO.1,5MV60,,Mesa Verde 143(Gp),,223,,5MV60,,,Gila Pueblo 143,CMV,,,Yes
GILA PUEBLO 104?,5MV396,,Mesa Verde 104(Gp),,224,,5MV396,,,Gila Pueblo 104,CMV,,,Yes
,5MV1060,,Mesa Verde 1060(Nps),,225,,5MV1060,,225,,CMV,,,Yes
,5MV866,,Mesa Verde 866(Nps),,226,,5MV866,,226,,CMV,,,Yes
,5MV875,,Mesa Verde 875(Nps),,227,,5MV875,,227,,CMV,,,Yes
